"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.450337236E0,-1.641837656E-1,-2.284990549E-1,1.182442605E-1
3.460301455E0,-9.494162351E-2,-1.954758763E-1,2.448774725E-1
3.470268955E0,1.287637353E-1,-1.134505793E-1,3.631217480E-1
3.480232757E0,-9.387636185E-2,-6.870950758E-2,4.930838943E-1
3.490199944E0,5.193160381E-3,-1.344895363E-2,6.422207952E-1
3.500165830E0,2.394180000E-1,5.472791940E-2,7.869635224E-1
3.510132809E0,2.170474678E-1,6.325002760E-2,8.977509141E-1
3.520109111E0,4.886896908E-2,3.342264518E-2,1.003211975E0
3.530077027E0,-1.130511016E-1,1.637842879E-2,1.112934232E0
3.540038798E0,1.127847880E-1,7.709845901E-2,1.168327928E0
3.550006090E0,1.904158741E-1,1.250353158E-1,1.170458436E0
3.559974736E0,-1.759016514E-1,9.946899116E-2,1.141696334E0
3.569942132E0,-4.420844018E-1,5.046686530E-2,1.151283622E0
3.579896767E0,-1.045289934E-1,7.816372067E-2,1.196024776E0
3.589862861E0,6.804371625E-2,8.775109053E-2,1.183241606E0
3.599843277E0,-1.545963883E-1,6.964161247E-2,1.127847910E0
3.609810830E0,2.649843320E-2,1.154479459E-1,1.120391011E0
3.619782965E0,2.841590643E-1,1.910816729E-1,1.129978418E0
3.629750934E0,4.247738793E-2,1.814942956E-1,1.116129994E0
3.639713382E0,2.756369673E-2,2.198437899E-1,1.094824672E0
3.649680777E0,4.993423447E-2,2.347574681E-1,1.119325757E0
3.659644527E0,1.404816359E-1,2.518016994E-1,1.157675266E0
3.669611559E0,-4.061317816E-2,2.155827284E-1,1.169393182E0
3.679585569E0,-6.524739787E-3,2.454101145E-1,1.142761588E0
3.689553330E0,7.976161689E-2,2.688459158E-1,1.152348995E0
